package	version	declared_license	source
futures-io	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-macro	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-sink	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-task	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-util	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
generic-array	0.14.7	MIT	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.2.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.3.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.4.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
glob	0.3.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.15.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.17.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashlink	0.10.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heck	0.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hex	0.4.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hkdf	0.12.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hmac	0.12.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hmac	0.13.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
home	0.5.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hybrid-array	0.4.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone	0.1.65	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
icu_collections	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
icu_locale_core	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
icu_normalizer	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
icu_normalizer_data	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
icu_properties	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
icu_properties_data	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
icu_provider	2.2.0	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
id-arena	2.3.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
idna	1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
idna_adapter	1.2.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
imbl	7.0.2	MPL-2.0+	registry+https://github.com/rust-lang/crates.io-index
imbl-sized-chunks	0.2.0	MPL-2.0+	registry+https://github.com/rust-lang/crates.io-index
indexmap	2.14.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
io-uring	0.7.13	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itertools	0.10.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itertools	0.14.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itoa	1.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
jobserver	0.1.34	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
js-sys	0.3.98	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lazy_static	1.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lazycell	1.3.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
leb128fmt	0.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libc	0.2.186	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libloading	0.8.9	ISC	registry+https://github.com/rust-lang/crates.io-index
libm	0.2.16	MIT	registry+https://github.com/rust-lang/crates.io-index
libredox	0.1.16	MIT	registry+https://github.com/rust-lang/crates.io-index
libsqlite3-sys	0.30.1	MIT	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
