package	version	declared_license	source
windows_x86_64_msvc	0.48.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.57.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-core	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-rust	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-rust-macro	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-component	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-parser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
writeable	0.6.3	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
yoke	0.8.2	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
yoke-derive	0.8.2	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
zerocopy	0.8.48	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zerocopy-derive	0.8.48	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zerofrom	0.1.8	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
zerofrom-derive	0.1.7	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
zeroize	1.8.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zerotrie	0.2.4	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
zerovec	0.11.6	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
zerovec-derive	0.11.3	Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
zmij	1.0.21	MIT	registry+https://github.com/rust-lang/crates.io-index
